subtype,Type,BJA5 ,BJI5 ,BJN4 ,BJU2 ,CCA1 ,CCI2 ,CCN1 ,CCU4 ,CDA4 ,CDI2 ,CDN2 ,CDU1 ,CSA2 ,CSI2 ,CSN3 ,CSU3 ,FZA2 ,FZI2 ,FZN1 ,FZU5 ,GYA1 ,GYI1 ,GYN3 ,GYU3 ,GZA3 ,GZI2 ,GZN5 ,GZU4 ,HEBA3 ,HEBI2 ,HEBN3 ,HEBU4 ,HFA5 ,HFI5 ,HFN2 ,HFU5 ,HHHTA3 ,HHHTI1 ,HHHTN5 ,HHHTU2 ,HZA2 ,HZI3 ,HZN4 ,HZU5 ,JNA5 ,JNI4 ,JNN1 ,JNU5 ,KMA2 ,KMI4 ,KMN1 ,KMU1 ,LZA2 ,LZI1 ,LZN5 ,LZU1 ,NJA5 ,NJI4 ,NJN2 ,NJU5 ,NNA4 ,NNI4 ,NNN3 ,NNU2 ,SHA1 ,SHI4 ,SHN4 ,SHU4 ,SJZA4 ,SJZI5 ,SJZN1 ,SJZU1 ,SYA4 ,SYI1 ,SYN4 ,SYU1 ,TJA3 ,TJI2 ,TJN1 ,TJU1 ,TYA1 ,TYI2 ,TYN3 ,TYU5 ,WHA5 ,WHI3 ,WHN5 ,WHU4 ,WLMQA2 ,WLMQI4 ,WLMQN2 ,WLMQU2 ,XAA1 ,XAI3 ,XAN1 ,XAU2 ,XNA3,XNI3 ,XNN1 ,XNU2 ,YCA4 ,YCI2 ,YCN3 ,YCU2 ,ZZA5,ZZI5 ,ZZN4 ,ZZU5 
APH(3')-Ib,Aminoglycoside,0,0,4.31E-05,0,0,0,0,0.000101409,0,0,0,0,2.28E-05,0,0,0,0,0,0,2.89E-05,0,0,0,0,3.63E-05,0,0,3.87E-05,0,0,0,8.44E-05,3.44E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000117231,4.56E-05,4.02E-05,0,0,0,5.41E-05,0,0,3.22E-05,0,0,0,0,4.77E-05,0,0.000562724,0,0,4.27E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APH(3')-IIIa,Aminoglycoside,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00010838,0,0,0,0,0,0,0,0
APH(6)-Ia,Aminoglycoside,1.84E-05,0,5.55E-05,2.30E-05,0,3.27E-05,0,2.79E-05,7.22E-05,3.74E-05,0,1.58E-05,0,0.000156726,0,2.98E-05,0,0,6.68E-05,9.44E-05,0,3.59E-05,0,0.000199842,2.43E-05,3.58E-05,0,3.34E-05,0,5.22E-05,0,0,2.67E-05,3.49E-05,0,0.000103713,0,2.38E-05,3.83E-05,3.16E-05,0,3.51E-05,0,2.24E-05,2.47E-05,6.56E-05,0,5.31E-05,0,0,0,6.08E-05,3.10E-05,2.84E-05,3.29E-05,0,3.62E-05,3.06E-05,0,0.000106812,0,3.76E-05,0,3.55E-05,0,2.83E-05,0,0,0,0,0.000104315,6.43E-05,0,3.32E-05,0,0,0,6.99E-05,0,5.36E-05,2.84E-05,0.000127604,3.09E-05,0,5.74E-05,0.000106641,2.79E-05,0,7.87E-05,2.99E-05,5.43E-05,0,6.71E-05,0.000117253,3.03E-05,6.33E-05,3.15E-05,0,2.75E-05,0,0.000150048,2.38E-05,5.62E-05,2.45E-05,3.33E-05,7.83E-05,2.05E-05,2.56E-05
APH(6)-Ib,Aminoglycoside,9.41E-05,7.18E-05,1.47E-05,2.35E-05,2.84E-05,3.07E-05,0,0,3.54E-05,7.80E-05,0,1.35E-05,0,0.000140191,3.39E-05,0,0.000141077,3.74E-05,0,4.95E-05,2.14E-05,0.00029677,0,0.000200551,0,3.22E-05,0.000146614,6.68E-05,0,2.72E-05,0,0,0,6.47E-05,0,0.000113627,4.15E-05,2.56E-05,0.000293149,3.36E-05,0,0,3.99E-05,1.95E-05,0,0,3.59E-05,0,4.80E-05,0.000139993,0,0,6.32E-05,6.60E-05,3.29E-05,0,3.55E-05,0,0,4.50E-05,3.31E-05,7.52E-05,3.89E-05,3.63E-05,0,0,7.58E-05,0,6.68E-05,4.02E-05,6.88E-05,0.000131426,0,0,0,2.55E-05,0,0.000137532,0,6.93E-05,5.28E-05,6.24E-05,0,5.79E-05,2.75E-05,0.000156347,0,0,0.000349144,5.93E-05,5.91E-05,0,0,0.00017557,0.000107302,0,9.73E-05,4.43E-05,2.75E-05,2.26E-05,0.000186862,0.000351884,6.18E-05,2.56E-05,0.000161764,4.70E-05,4.81E-05,4.82E-05
APH(6)-Ic,Aminoglycoside,0.000232037,0.00026335,0.0001674,0.000182463,5.95E-05,6.92E-05,3.97E-05,0.000155249,7.10E-05,0.000177325,0.000398101,0.000172238,4.68E-05,0.000231498,0,0.000155792,7.34E-05,0,0.00018942,0.000412645,0.000158378,7.24E-05,0,0.000158671,3.62E-05,0.000298089,0,0.000380937,0,0.000181877,0.000454683,0.00015608,0,0.000233193,4.43E-05,0.000190991,0.000378775,0.000327309,0.000129856,0.000205905,3.93E-05,7.36E-05,0,5.00E-05,7.10E-05,0.000241776,0.000457595,0.000248439,0,0.000187697,0.000131794,0.000255804,0.00018047,0.000146965,0.00011074,0.000209648,0,0.000375341,0.000181882,9.20E-05,0,0.000506708,3.75E-05,8.29E-05,0,0.000109451,4.56E-05,0.000154184,0.000584712,0.000436987,0.000151516,0.000376216,3.78E-05,0,0.000125689,0.000219169,0.000367569,0.000356693,8.23E-05,2.88E-05,0.000122745,0.000317763,0.000265369,0.000223791,3.38E-05,0.000149676,0.000208303,7.75E-05,0.000236507,3.10E-05,6.75E-05,0.000147607,0.000212873,9.69E-05,0.000254619,7.22E-05,0.000229433,0.000201064,0,0.000179645,0,0.000191447,6.49E-05,0.000106642,0.000392627,0.000369674,0.00039377,0.000393943
APH(6)-Id,Aminoglycoside,0,0,0,2.25E-05,5.63E-05,0,0,0.000647848,0,0,0,5.64E-05,8.75E-05,0,0,3.26E-05,0.000158624,0,0,0.001085729,0,0,0,0,0,0,0,0.000473571,0,0.000127925,0,0.001629608,0,0,0,0,0,3.53E-05,0,8.02E-05,0,0,0,5.50E-05,0,0,0,3.12E-05,0,0,0,0,7.33E-05,0,0,0.001100604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000165859,0,0,4.27E-05,0,0,4.50E-05,0,0,0.000142307,9.15E-05,0,0,0.000153456,0,0,0,0,6.18E-05,0,0,0,3.04E-05,3.43E-05,0,0,0,0,0,5.67E-05,2.96E-05,4.22E-05,0,0,0,0,0,0.001496664
bacA,Bacitracin,0.012970716,0.011041675,0.016043891,0.016054181,0.023131881,0.014585818,0.007361755,0.0228658,0.018693173,0.017611201,0.012724294,0.021708562,0.025420275,0.015605857,0.003820718,0.02626665,0.013813271,0.01784614,0.013339826,0.021380858,0.011925225,0.017721997,0.006750285,0.023231964,0.018377465,0.026510502,0.003838502,0.026555734,0.019883988,0.01319621,0.01938364,0.03011607,0.01120992,0.026418754,0.008443485,0.015864262,0.013152802,0.019664521,0.009363331,0.020357653,0.01225061,0.018881129,0.003460422,0.0193167,0.020093822,0.027360458,0.014656325,0.019816188,0.026935183,0.01515737,0.005685249,0.025535833,0.01420406,0.00917304,0.014931255,0.043722551,0.012553776,0.021598311,0.014760703,0.021259263,0.012659033,0.013289564,0.011681322,0.017972361,0.027801565,0.025010113,0.009720869,0.020865465,0.015746353,0.017576257,0.015085772,0.020976804,0.012754585,0.021032183,0.012620339,0.013341177,0.014837001,0.012372578,0.008159072,0.014578815,0.013345555,0.021527995,0.025228306,0.017882823,0.037012679,0.017828906,0.004860501,0.019735172,0.007425401,0.017427101,0.011990535,0.015529802,0.020012415,0.011817741,0.012995168,0.018034135,0.015130628,0.029259393,0.017371724,0.017278979,0.013917491,0.007895881,0.013819783,0.013564442,0.019381408,0.019491261,0.016722327,0.030475598
blaZ,Beta_lactam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.77E-05,0,0,0
mecA,Beta_lactam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.31E-05,0,0,0,0,0,0,0,3.18E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.62E-05,0,0,0,0,0,0,4.66E-05
OXA-1,Beta_lactam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000249545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000343361
