"","sample.id","group","Location","Longitude","Latitude","population.density","CO","MAP","MAT","Aridity.index","NO2","O3","PM2.5","PM10","SO2","pH","HDI","Per.capita.GDP"
"195","HHHTN5","Forest","Hohhot",111.57,40.85,2587.29,0.74,282,6.18,0.19,30.32,88.43,40.04,97.39,16.76,7.35,0.64472618,4927.352915
"197","HHHTU2","Urban","Hohhot",111.66,40.81,21355.44,0.87,299,6.8,0.2,37.56,82.31,44.99,106.88,16.76,8.27,0.64472618,4927.352915
"202","HZA2","Cropland","Hangzhou",120.56,30.24,556.01,0.74,1224,16.52,0.94,33.28,95.05,50.18,81.84,7.9,5.02,0.66437155,9388.186974
"208","HZI3","Industry","Hangzhou",120.61,30.27,129.12,0.73,1217,16.83,0.91,32.22,90.15,49,79.65,8.24,7.79,0.66437155,9388.186974
"214","HZN4","Forest","Hangzhou",120.02,30.19,80.89,0.71,1374,15.34,1.15,27.28,94.01,46.08,74.77,7.68,4.06,0.66437155,9388.186974
"220","HZU5","Urban","Hangzhou",120.16,30.27,25572.65,0.81,1385,16.85,1.07,44.38,94.81,53.99,87.96,7.62,7.78,0.66437155,9388.186974
"225","JNA5","Cropland","Jinan",116.91,36.82,260.24,0.84,651,13.2,0.45,34.46,104.6,71.53,128.45,12.74,8.09,0.643833183,7252.365943
"229","JNI4","Industry","Jinan",116.88,36.8,163.71,0.85,648,13.24,0.45,36.28,105.1,71.87,129.34,12.74,8.39,0.643833183,7252.365943
"231","JNN1","Forest","Jinan",116.91,36.82,260.24,0.84,651,13.2,0.45,34.46,104.6,71.53,128.45,12.74,7.69,0.643833183,7252.365943
"240","JNU5","Urban","Jinan",117.02,36.67,7440.29,0.85,739,14.17,0.49,40.92,103.78,74.59,140.25,12.74,7.9,0.643833183,7252.365943
"242","KMA2","Cropland","Kunming",102.69,24.93,26.73,0.7,905,14.9,0.75,20.34,84.87,29.02,52.14,10.74,7.47,0.543820267,3068.748136
"249","KMI4","Industry","Kunming",102.55,24.8,588.28,0.67,909,15.01,0.74,19.3,85.75,25.97,46.12,9.96,7.77,0.543820267,3068.748136
"251","KMN1","Forest","Kunming",102.58,25.05,162.56,0.67,930,13.15,0.79,14.32,85.72,23.87,40.35,10.14,4.96,0.543820267,3068.748136
"256","KMU1","Urban","Kunming",102.7,25.02,10973.68,0.71,942,15.64,0.74,27.58,79.6,32.3,61.02,11.12,7.78,0.543820267,3068.748136
"262","LZA2","Cropland","Lanzhou",103.38,36.14,819.33,0.81,341,8.86,0.26,29.36,89.13,51.28,122.23,12.68,8.64,0.567037549,4927.352915
"266","LZI1","Industry","Lanzhou",103.63,36.12,2766.58,0.92,351,9.5,0.28,46.18,90.13,55.71,126.76,17.9,8.09,0.567037549,4927.352915
"275","LZN5","Forest","Lanzhou",103.83,36.02,4989.07,0.88,358,7.63,0.29,35.46,85.18,50.45,120.57,12.16,8.69,0.567037549,4927.352915
"276","LZU1","Urban","Lanzhou",103.81,36.06,20369.08,0.95,336,9.55,0.26,44.28,85.42,53.73,126.4,15.64,8.24,0.567037549,4927.352915
"285","NJA5","Cropland","Nanjing",118.78,32.19,317.86,0.79,1000,15.82,0.77,34.36,97.99,56.44,96.22,8.86,7.84,0.667943452,9165.778884
"289","NJI4","Industry","Nanjing",118.87,32.16,539.38,0.78,1038,15.76,0.8,35.2,97.97,55.74,95.56,8.04,8.14,0.667943452,9165.778884
