type,BJA5,BJI5,BJN4,BJU2,CCA1,CCI2,CCN1,CCU4,CDA4,CDI2,CDN2,CDU1,CSA2,CSI2,CSN3,CSU3,FZA2,FZI2,FZN1,FZU5,GYA1,GYI1,GYN3,GYU3,GZA3,GZI2,GZN5,GZU4,HEBA3,HEBI2,HEBN3,HEBU4,HFA5,HFI5,HFN2,HFU5,HHHTA3,HHHTI1,HHHTN5,HHHTU2,HZA2,HZI3,HZN4,HZU5,JNA5,JNI4,JNN1,JNU5,KMA2,KMI4,KMN1,KMU1,LZA2,LZI1,LZN5,LZU1,NJA5,NJI4,NJN2,NJU5,NNA4,NNI4,NNN3,NNU2,SHA1,SHI4,SHN4,SHU4,SJZA4,SJZI5,SJZN1,SJZU1,SYA4,SYI1,SYN4,SYU1,TJA3,TJI2,TJN1,TJU1,TYA1,TYI2,TYN3,TYU5,WHA5,WHI3,WHN5,WHU4,WLMQA2,WLMQI4,WLMQN2,WLMQU2,XAA1,XAI3,XAN1,XAU2,XNA3,XNI3,XNN1,XNU2,YCA4,YCI2,YCN3,YCU2,ZZA5,ZZI5,ZZN4,ZZU5
Pleuromutilin_tiamulin,0.000256505,0.000454567,0.000309224,0.00026041,0.000251087,0.000400039,0.000134917,0.000350574,0.000149073,0.000146336,6.14E-05,0.000220289,6.67E-05,0.000545306,1.57E-05,0.000280905,0.000255508,1.70E-05,0.000149663,0.000253757,6.25E-05,0.000105087,0,0.000328017,0.000393872,0.000214221,0,0.000302565,0.000394841,0.000383286,0.00011389,0.000140242,7.06E-05,0.000145272,0.000175961,0.00033528,0.000191281,0.000166682,0.000584182,0.000175699,4.94E-05,0.000466007,0,0.000195202,0.000185317,0.000216197,0.000504334,0.000269155,0.000179753,0.000315532,3.91E-05,7.75E-05,0.000255976,0.000197551,0.000479581,9.88E-05,0.000125308,0.000223729,0.000129785,0.000141417,0.000126793,0.000465393,1.43E-05,0.000214419,0.000128095,6.57E-05,0.000132249,8.91E-05,0.000201359,0.000276068,0.000329809,0.000343134,4.56E-05,0.000353346,0.000254722,0.000669323,0.000289734,0.000159908,8.08E-05,0.000138818,0.000324561,0.000327125,0.000278539,0.000460143,0.00014558,0.000208301,2.38E-05,0.000191063,0.000200931,0.000160646,0.000167998,0.00017312,0.000156133,0.000202216,0.000223328,9.34E-05,0.000157776,9.40E-05,0.000284925,0.000286202,0.000264539,0.000960815,0.000537743,5.64E-05,0.000229082,0.000270753,0.000657478,0.000715993
Other_peptide_antibiotics,0,0,0,5.31E-05,6.38E-05,0,0,3.23E-05,0,0.000131483,0,8.22E-05,0.000158456,4.03E-05,0,3.99E-05,0.000147087,8.47E-05,0,8.94E-05,3.01E-05,0,0,0,0,9.84E-05,0,0.001134805,6.71E-05,0,0,2.81E-05,6.16E-05,0,9.45E-05,2.12E-05,0.000372879,1.57E-05,3.85E-05,7.59E-05,0,0,0,0,0.000138054,6.06E-05,8.72E-05,0.000124815,6.03E-05,0,0,0.00012843,3.61E-05,0,0,3.32E-05,2.07E-05,0.000140466,0.000172711,0.000687994,0.000342575,0.000109619,0.000131811,5.86E-05,0.000101143,5.82E-05,4.49E-05,0,0,8.94E-05,0,0.000451791,0,6.12E-05,0,9.05E-05,0,0.000110716,0,9.04E-05,6.18E-05,3.98E-05,0,5.61E-05,0.000344316,2.49E-05,1.53E-05,8.11E-05,0.000375941,0,0,7.02E-05,0.000131027,3.54E-05,0,3.44E-05,0,0,0,0,0.000257793,0,0,0,3.90E-05,7.42E-05,5.04E-05,0.000278299
Bleomycin,0,0.000297564,8.97E-05,5.09E-05,0.000201333,6.76E-05,0,6.93E-05,0,0,0,0,0,0.000268136,0,0,0,0,0,0.000917193,0,0,0,0.000172609,0.000146385,0.000145219,0,0,0,0,0,6.23E-05,0,0,0,0,0,0.000213885,0.000155358,0.000417832,0,7.46E-05,0,0,0.00014959,0,9.30E-05,6.96E-05,7.45E-05,6.35E-05,0,0,0,0,0,7.92E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.38E-05,0.000173975,7.82E-05,7.49E-05,0,0.000401938,0,7.27E-05,0,0.000133293,0,7.19E-05,0.000400811,0,7.13E-05,0.000105476,0,0,0,0,0,0,0,0,0,0,0,0,0,8.02E-05,6.79E-05,0,0,6.36E-05,0,0.000256135,4.76E-05,0
Puromycin,2.94E-05,4.58E-05,4.02E-05,0,0.00013469,3.50E-05,0.000207767,0,1.81E-05,1.99E-05,2.49E-05,5.22E-05,0.000105888,9.70E-05,0.00011691,0,0.000214593,4.47E-05,0.000107262,0.000138278,2.68E-05,3.78E-05,3.44E-05,2.03E-05,1.52E-05,3.93E-05,5.48E-05,0,0,8.60E-05,0.000110362,2.57E-05,3.30E-05,2.04E-05,4.53E-05,0,4.65E-05,1.82E-05,4.25E-05,0,2.12E-05,3.85E-05,0.000112789,0,0,1.82E-05,0,1.71E-05,7.50E-05,0.000103622,0.000143061,0,9.02E-05,0,7.57E-05,0,0,2.03E-05,8.36E-05,5.71E-05,0,6.93E-05,2.42E-05,6.11E-05,0,0,2.22E-05,0,1.69E-05,2.01E-05,3.72E-05,0,5.40E-05,2.25E-05,6.40E-05,4.85E-05,2.28E-05,0,9.65E-05,1.49E-05,5.68E-05,0,2.48E-05,3.66E-05,0,2.70E-05,0.000106416,0,5.95E-05,0,3.02E-05,3.61E-05,1.70E-05,1.55E-05,2.26E-05,3.57E-05,2.09E-05,1.25E-05,1.64E-05,2.64E-05,0,0.000116156,3.43E-05,5.54E-05,1.74E-05,4.32E-05,5.35E-05,2.81E-05
Antibacterial_fatty_acid,8.46E-05,6.31E-05,2.28E-05,4.73E-05,7.85E-05,6.31E-05,0,1.07E-05,7.01E-05,4.61E-05,0,3.22E-05,7.08E-05,8.39E-05,4.83E-05,5.54E-05,8.33E-05,4.52E-05,2.90E-05,5.92E-05,2.46E-05,5.99E-05,2.61E-05,1.36E-05,0.000123664,2.66E-05,3.87E-05,2.59E-05,0.00013899,8.43E-06,0.000134476,5.87E-05,3.33E-05,5.40E-05,3.41E-05,2.87E-05,6.53E-05,4.83E-05,2.97E-05,3.87E-05,5.42E-05,0,7.88E-05,2.82E-05,3.62E-05,0.000140746,7.02E-05,1.17E-05,0,3.52E-05,3.36E-05,0,1.26E-05,0,5.37E-05,1.25E-05,4.28E-05,5.21E-05,6.31E-05,5.35E-05,1.32E-05,7.52E-05,4.66E-05,2.67E-05,1.51E-05,1.39E-05,1.61E-05,0,3.91E-05,0,8.14E-05,6.82E-05,1.07E-05,7.20E-05,0,1.11E-05,1.49E-05,9.99E-05,1.43E-05,0.000116911,8.62E-06,1.39E-05,6.22E-05,2.00E-05,6.86E-05,4.43E-05,2.05E-05,1.43E-05,0,0,0,0,5.23E-05,0,2.90E-05,2.64E-05,1.37E-05,0.000122764,2.15E-05,0,2.19E-05,0,4.59E-05,0,9.27E-05,3.09E-05,4.95E-05,7.04E-05
Streptothricin,0,0.000187234,0,0,9.57E-05,0,0,0,0,0,0,0.000164944,0,5.84E-05,0,0,0,0,0.000118743,8.91E-05,0,0.000116149,0,5.76E-05,0.000101594,0,0,0.000171761,0,0,0,3.84E-05,0,5.49E-05,0,0,0,0,6.09E-05,0.000157602,0,0,6.66E-05,0,0.000149317,0,0,0,4.77E-05,0,6.88E-05,0,0,0,0,0,0,0,5.28E-05,0,0,0.000103275,0,0,0,0,0,0,0,6.08E-05,0.000172513,0,0,5.88E-05,0,9.13E-05,0,0,0,4.27E-05,4.52E-05,0.000105269,6.61E-05,0,0,3.56E-05,0,0,8.40E-05,0,0,4.91E-05,5.51E-05,9.98E-05,0.000118385,0,0,0,0,0,0.000263197,0.000117523,0,4.16E-05,0,0,0,0.000197197
Defensin,0,0,2.02E-05,0,5.98E-05,0,0,0,1.23E-05,2.67E-05,0,5.62E-06,6.41E-05,0,0,3.67E-05,0.000151476,0,0,0.000330451,0,2.61E-05,0,0,0,0,0,0.000282684,0,9.55E-06,0,0,0,2.43E-05,2.99E-05,1.33E-05,0,0,1.31E-05,0,0,1.23E-05,0,0,5.20E-05,2.49E-05,6.50E-05,0,0,0,0,5.75E-05,0,0,0,0.00039242,5.19E-05,3.23E-05,1.34E-05,9.67E-06,2.17E-05,1.09E-05,0,7.71E-05,0,2.25E-05,0,0,2.21E-05,1.40E-05,0,0,1.14E-05,0,0,0,0,0,0,0,0,1.09E-05,5.62E-05,2.35E-05,3.02E-05,0,0,1.22E-05,0,0,0,2.04E-05,1.22E-05,0,1.21E-05,0,3.70E-05,0,0,0,9.54E-06,0,0,0,4.77E-05,0,7.52E-06,4.32E-05
Factumycin,8.18E-06,0,0,0,1.21E-05,0,1.53E-05,3.64E-05,0,0,0,0,0,0,0,1.51E-05,0,0,0,1.63E-05,0,0,3.70E-05,0,1.65E-05,0,2.68E-05,2.91E-05,1.25E-05,0,2.93E-05,0,1.40E-05,1.48E-05,0,0,0,0,3.19E-05,1.43E-05,0,1.50E-05,0,0,1.32E-05,2.12E-05,1.59E-05,0,0,1.64E-05,0,0,3.51E-05,0,0,0,0,0,0,2.41E-05,0,1.64E-05,0,0,1.64E-05,0,1.68E-05,0,3.67E-05,0,0,1.49E-05,6.84E-05,0,9.55E-06,0,0,3.97E-05,1.53E-05,1.13E-05,0,3.39E-05,1.70E-05,3.67E-05,0,2.43E-05,1.16E-05,0,0,0,0,0,0,0,0,0,3.77E-05,2.68E-05,0,0,0,1.03E-05,0,2.47E-05,2.90E-05,1.13E-05,1.05E-05,1.38E-05
Fusidic_acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000228292,0,0,0,0,0,0,0,0,0,0,1.69E-05,0,0,0,0,0,0,0,0,0,1.84E-05,0,0,0,0,0,0,3.67E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.52E-05,0,0,0,4.06E-05,0,0,0
Bicyclomycin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.95E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.54E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
