level1,BJA5,BJI5,BJN4,BJU2,CCA1,CCI2,CCN1,CCU4,CDA4,CDI2,CDN2,CDU1,CSA2,CSI2,CSN3,CSU3,FZA2,FZI2,FZN1,FZU5,GYA1,GYI1,GYN3,GYU3,GZA3,GZI2,GZN5,GZU4,HFA5,HFI5,HFN2,HFU5,HHHTA3,HHHTI1,HHHTN5,HHHTU2,HZA2,HZI3,HZN4,HZU5,JNA5,JNI4,JNN1,JNU5,KMA2,KMI4,KMN1,KMU1,LZA2,LZI1,LZN5,LZU1,HEBA3,HEBI2,HEBN3,HEBU4,NJA5,NJI4,NJN2,NJU5,NNA4,NNI4,NNN3,NNU2,SHA1,SHI4,SHN4,SHU4,SJZA4,SJZI5,SJZN1,SJZU1,SYA4,SYI1,SYN4,SYU1,TJA3,TJI2,TJN1,TJU1,TYA1,TYI2,TYN3,TYU5,WHA5,WHI3,WHN5,WHU4,WLMQA2,WLMQI4,WLMQN2,WLMQU2,XAA1,XAI3,XAN1,XAU2,XNA3,XNI3,XNN1,XNU2,YCA4,YCI2,YCN3,YCU2,ZZA5,ZZI5,ZZN4,ZZU5
1452_tnpA_DQ147773.1,0,0.000187507,0.00043701,7.67E-05,2.38E-05,5.32E-05,0.000316361,0.001135571,0.000252648,0.00139974,0,0.002900717,0,0.000109767,2.45E-05,8.61E-05,0.003141316,0.00014192,0.000436783,0.000897899,8.42E-05,6.15E-05,0,0.000900569,0.001196037,2.87E-05,0.000152553,0.001262903,9.78E-05,0,6.52E-05,0,2.65E-05,2.49E-05,3.11E-05,5.39E-05,5.84E-05,0.000110226,0,0.000174394,0,5.57E-05,3.06E-05,0.000111813,0.000865644,0.003241245,0.000130156,2.36E-05,0,0,0,0.000850624,0,0.001375653,0.000168346,0.000537505,0,0.000881507,0.000559519,2.20E-05,0.000717455,0.000242249,0,0.000434061,0.000188793,0.000333235,0.00049822,3.16E-05,2.34E-05,0.000129908,0.000112797,0.000166311,0,8.01E-05,5.48E-05,4.63E-05,0,0.00036404,5.91E-05,0.000209983,2.29E-05,0.000626041,6.04E-05,0.00031428,0,1.77E-05,2.28E-05,5.75E-05,0,0,4.39E-05,0.001751054,0.000484946,0,0,7.86E-05,0,0.00015308,0.000106818,0.00049603,0,1.78E-05,0.000333555,6.18E-05,0,4.25E-05,3.80E-05,1.62E-05
1456_tnpA_LT599584.1,6.07E-06,1.10E-05,5.97E-06,0,6.05E-05,0,0,1.80E-05,0,0,0,1.89E-05,2.52E-05,0,0,0,0,0,0,3.81E-05,0,0,0,2.03E-05,0,0,2.97E-05,4.30E-05,0,0,0,0,1.17E-05,0,1.05E-05,1.01E-05,0,0,0,0,0,1.13E-05,2.35E-05,0,1.86E-05,0.000261808,0,0,9.86E-06,0,0,4.82E-05,0,0,0,3.82E-05,1.14E-05,0,0,0,2.09E-05,0,0,0,0,1.10E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17E-05,0,1.05E-05,0,3.07E-05,0,0,0,0,0,0,4.48E-05,9.17E-06,0,8.97E-06,0,0,6.16E-05,8.32E-05,3.28E-05,1.45E-05,0,0,1.84E-05,0,3.01E-05,8.36E-06,0,7.99E-06
1457_IS91_MQRH01000053.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.72E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1458_IS91_CP000616.1,0,0,0,0,0.000131597,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000166357,0,0,0,0,0,9.02E-05,0,0.000110492,0.000158206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000135735,0,0,0,0,7.56E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1461_IS91_CP000490.1,0.000495993,0,4.45E-05,0.00029357,0,7.26E-05,0.000305904,0.001840726,0,0,0.000124572,0.00121596,5.81E-05,0,0.000713272,0.000276435,0.000191855,0.000187306,0.000498187,0.00171399,0.000358588,0.000426871,0.000997246,0.000475406,0.000270673,0.000469117,0,0.000513323,0,8.16E-05,0.000321989,0.00010622,0,0.000489934,0.000108061,0.000866683,7.73E-05,0.000194252,0,0.000194358,0.000367029,0.000935244,0,0.000447729,0.000712765,0.000396814,0.000107388,0.001496335,0.000413857,0.001055898,9.16E-05,0.003324667,0.000217941,7.26E-05,0,0.001119564,7.98E-05,0.000448718,0,0.000361064,0.000271232,0.000366007,0,0.000357365,0.000472163,9.46E-05,0,0,0.000680785,0.000112868,0.000476055,0.000810798,0,0.000210608,0.000161721,0.000299254,0.000169564,0.000519635,0,0.001637074,0.000597493,0.001389778,0,0.00054514,0.00023792,5.44E-05,0,0.00010507,0.000252685,0.000405377,0,0.001226165,0,0.00024983,0,0.000325463,7.63E-05,0.000493798,0,0.000923154,0.000534873,7.04E-05,0,0.001446338,8.35E-05,0.000356022,0.000192259,0.001364879
1463_tniA_AB270530.1,0,0,0,2.62E-05,0,0,0,6.21E-05,0,0,0,0,2.18E-05,0,0,0,0,0,0,1.34E-05,0,0,0,0,0,0,0,0.00012675,0,0,0,0,0,3.22E-05,0,9.17E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.19E-05,0,0,0,5.36E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.57E-05,0,0,0,0,0,0,0,0
1464_tnpA_ANKQ01000003.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.55E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.48E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1465_tnpA_CP008804.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000222865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1466_tnpA_CP000355.2,0,0,0,0.000691258,0,4.74E-05,5.20E-05,0.002040997,0.000196257,0.000225538,0,0.000714657,0.001727845,0.000301093,0,0.000198043,0.000415571,0,0,0.023303007,7.62E-05,0.000163066,0,0.000790329,0.000455168,5.08E-05,0,0.014484219,0,5.06E-05,0,0.000325163,0.00023058,0.000387383,0,0.001950525,0,0.00010188,0,0.000101463,0,0.000259022,0,0.000373108,0.00076672,4.23E-05,0,9.60E-05,0.000137545,0.000187549,0,0.015684075,0,0.000110674,0,0.004996273,0.000315192,0.000263748,0,0.000451329,0.001788826,0.000153678,0,0.000515431,5.51E-05,0.000782905,0,0.000209881,0.000335598,0,0,0.000101519,9.32E-05,5.25E-05,6.50E-05,4.12E-05,0,0.000976012,0,0.002787901,3.58E-05,0.000402693,0.000231473,0.002378853,0,0.000765767,0,0.000155532,0,0.000692905,8.57E-05,0.000134317,0.000289135,0.000661316,0,0.000193344,0,0.000379427,0,0.00157273,0.000158559,0,0,0.000326465,0,0,0,0.001190386
1468_istA_CTRI01000001.1,0,0,0,0,0,0,0,1.77E-05,2.02E-05,4.39E-05,0,0,0,0,0,0,0,2.02E-05,0,7.27E-05,1.46E-05,0,0,2.10E-05,0,8.90E-05,0,0,1.42E-05,0,0,2.00E-05,0,1.87E-05,0,5.76E-05,3.24E-05,5.69E-05,0,8.68E-05,0,0.000267201,0,1.44E-05,3.06E-05,1.74E-05,0,2.07E-05,1.61E-05,1.76E-05,5.46E-05,1.89E-05,1.82E-05,0,0,1.35E-05,2.18E-05,0,2.47E-05,1.57E-05,0,0,0,6.51E-05,0.000105497,0.000212698,0,0.000107083,0,4.91E-05,0,1.74E-05,7.59E-05,2.25E-05,2.55E-05,0,0,1.65E-05,0,1.66E-05,6.39E-05,2.19E-05,1.94E-05,0,6.07E-05,1.11E-05,0,1.90E-05,0,0,1.38E-05,1.44E-05,1.77E-05,1.82E-05,0,2.09E-05,3.77E-05,2.53E-05,2.79E-05,2.50E-05,0,0,1.43E-05,1.21E-05,3.32E-05,1.41E-05,0,1.17E-05
